Number,FromSub,ToSub,Circuits,FromNum,ToNum,Z,Pmax,P,Status1,Status2
1,Abilene,McCamey,1,1,19,0.2,500,0,IN,IN
2,Abilene,Odessa,1,1,23,0.18,500,0,IN,IN
3,Abilene,Snyder,2,1,28,0.06,500,0,IN,IN
4,Abilene,Waco,1,1,30,0.1,500,0,IN,IN
5,Armstrong,Corpus Christi,1,2,8,0.08,500,0,IN,IN
6,Austin,Bastrop,1,3,4,0.05,800,0,IN,IN
7,Austin,Franklin,1,3,12,0.07,500,0,IN,IN
8,Austin,Rockdale,2,3,26,0.03,500,0,IN,IN
9,Austin,Waco,1,3,30,0.04,500,0,IN,IN
10,Brownsville,Armstrong,1,5,2,0.06,500,0,IN,IN
11,Brownsville,Corpus Christi,1,5,8,0.12,500,0,IN,IN
12,Bryan,Tyler,1,6,29,0.13,500,0,IN,IN
13,College Station,Bryan,2,7,6,0.02,500,0,IN,IN
14,College Station,Franklin,1,7,12,0.06,500,0,IN,IN
15,Corpus Christi,El Campo,1,8,10,0.12,500,0,IN,IN
16,Corpus Christi,Wadsworth,1,8,31,0.07,500,0,IN,IN
17,Dallas,Ft Worth,2,9,13,0.03,500,0,IN,IN
18,Dallas,McKinney,1,9,20,0.04,500,0,IN,IN
19,Dallas,Waco,1,9,30,0.09,500,0,IN,IN
20,El Campo,Katy,1,10,16,0.06,500,0,IN,IN
21,El Campo,San Antonio,1,10,27,0.14,500,0,IN,IN
22,Fluvanna,Lubbock,1,11,18,0.1,300,0,IN,IN
23,Fluvanna,O'Donnell,1,11,24,0.07,500,0,IN,IN
24,Franklin,Bryan,1,12,6,0.05,500,0,IN,IN
25,Franklin,Dallas,2,12,9,0.07,500,0,IN,IN
26,Ft Worth,Abilene,2,13,1,0.13,500,0,IN,IN
27,Ft Worth,Snyder,1,13,28,0.17,500,0,IN,IN
28,Ft Worth,Waco,1,13,30,0.08,500,0,IN,IN
29,Galveston,Katy,1,14,16,0.05,500,0,IN,IN
30,Galveston,Pasadena,1,14,25,0.04,800,0,IN,IN
31,Houston,College Station,1,15,7,0.07,500,0,IN,IN
32,Houston,El Campo,2,15,10,0.08,500,0,IN,IN
33,Houston,Pasadena,1,15,25,0.01,500,0,IN,IN
34,Katy,Bastrop,1,16,4,0.1,800,0,IN,IN
35,Katy,Houston,2,16,15,0.02,500,0,IN,IN
36,Katy,Rockdale,1,16,26,0.07,500,0,IN,IN
37,Kerrville,Austin,1,17,3,0.06,500,0,IN,IN
38,Kerrville,McCamey,1,17,19,0.2,500,0,IN,IN
39,Lubbock,O'Donnell,1,18,24,0.16,300,0,IN,IN
40,Lubbock,Wichita Falls,1,18,32,0.2,300,0,IN,IN
41,McKinney,Ft Worth,1,20,13,0.05,500,0,IN,IN
42,McKinney,Wichita Falls,1,20,32,0.17,300,0,IN,IN
43,Mission,Brownsville,1,21,5,0.03,500,0,IN,IN
44,Mission,Corpus Christi,1,21,8,0.14,500,0,IN,IN
45,Mission,San Antonio,1,21,27,0.2,300,0,IN,IN
46,Monahans,McCamey,1,22,19,0.07,500,0,IN,IN
47,Odessa,McCamey,1,23,19,0.09,500,0,IN,IN
48,Odessa,Monahans,1,23,22,0.07,500,0,IN,IN
49,Odessa,O'Donnell,1,23,24,0.1,500,0,IN,IN
50,Pasadena,College Station,1,25,7,0.1,500,0,IN,IN
51,Rockdale,Bryan,1,26,6,0.08,500,0,IN,IN
52,Rockdale,Franklin,1,26,12,0.08,500,0,IN,IN
53,Rockdale,Waco,1,26,30,0.11,500,0,IN,IN
54,San Antonio,Austin,2,27,3,0.07,500,0,IN,IN
55,San Antonio,Kerrville,2,27,17,0.07,500,0,IN,IN
56,Snyder,Fluvanna,1,28,11,0.08,800,0,IN,IN
57,Snyder,O'Donnell,1,28,24,0.09,800,0,IN,IN
58,Tyler,Dallas,1,29,9,0.09,500,0,IN,IN
59,Wadsworth,El Campo,2,31,10,0.06,500,0,IN,IN
60,Wadsworth,Galveston,1,31,14,0.05,800,0,IN,IN
61,Wadsworth,San Antonio,1,31,27,0.14,500,0,IN,IN
