Number,Name,Latitude,Longitude,Pmax,Pmin,Ramp,StartTime,Units,FixedCost,FuelCost,Category,UState0,UState1,UState2,UState3,UState4,UState5,UState6,UState7,UPset0,UPset1,UPset2,UPset3,UPset4,UPset5,UPset6,UPset7,UP0,UP1,UP2,UP3,UP4,UP5,UP6,UP7
1,Abilene,32.51,-99.66,313,0,50,5,3,0,200,Load,IN,IN,IN,X,X,X,X,X,104.33,104.33,104.33,0,0,0,0,0,104.33,104.33,104.33,0,0,0,0,0
2,Armstrong,27,-97.6,544,0,25,20,5,600,0,Wind,IN,IN,IN,IN,IN,X,X,X,71,71,71,71,71,0,0,0,71,71,71,71,71,0,0,0
3,Austin,30.29,-97.78,635,0,50,5,4,0,200,Load,IN,IN,IN,IN,X,X,X,X,158.75,158.75,158.75,158.75,0,0,0,0,158.75,158.75,158.75,158.75,0,0,0,0
4,Bastrop,30.15,-97.27,960,0,25,10,4,400,0,Solar PV,IN,IN,IN,IN,X,X,X,X,195,195,195,195,0,0,0,0,195,195,195,195,0,0,0,0
5,Brownsville,25.94,-97.32,266,0,50,5,3,0,200,Load,IN,IN,IN,X,X,X,X,X,88.67,88.67,88.67,0,0,0,0,0,88.67,88.67,88.67,0,0,0,0,0
6,Bryan,30.79,-96.46,170,0,25,30,2,1000,40,Gas Turbine,DIS,DIS,X,X,X,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,College Station,30.61,-96.33,406,0,50,5,4,0,200,Load,IN,IN,IN,IN,X,X,X,X,101.5,101.5,101.5,101.5,0,0,0,0,101.5,101.5,101.5,101.5,0,0,0,0
8,Corpus Christi,27.81,-97.43,343,0,50,5,4,0,200,Load,IN,IN,IN,IN,X,X,X,X,85.75,85.75,85.75,85.75,0,0,0,0,85.75,85.75,85.75,85.75,0,0,0,0
9,Dallas,32.71,-96.68,1010,0,50,5,7,0,200,Load,IN,IN,IN,IN,IN,IN,IN,X,144.29,144.29,144.29,144.29,144.29,144.29,144.29,0,144.29,144.29,144.29,144.29,144.29,144.29,144.29,0
10,El Campo,29.21,-96.28,830,160,10,240,8,1000,20,Gas Combined Cycle,IN,IN,IN,IN,IN,DIS,DIS,DIS,20,20,20,20,20,0,0,0,20,20,20,20,20,0,0,0
11,Fluvanna,33.05,-101.15,441,0,25,20,3,600,0,Wind,IN,IN,IN,X,X,X,X,X,136.67,136.67,136.67,0,0,0,0,0,136.67,136.67,136.67,0,0,0,0,0
12,Franklin,31.18,-96.49,1450,290,5,360,3,1000,35,Coal-fired Steam,IN,IN,DIS,X,X,X,X,X,500,500,0,0,0,0,0,0,500,500,0,0,0,0,0,0
13,Ft Worth,32.53,-97.31,918,0,50,5,6,0,200,Load,IN,IN,IN,IN,IN,IN,X,X,153,153,153,153,153,153,0,0,153,153,153,153,153,153,0,0
14,Galveston,29.31,-94.78,188,0,50,5,4,0,200,Load,IN,IN,IN,IN,X,X,X,X,47,47,47,47,0,0,0,0,47,47,47,47,0,0,0,0
15,Houston,29.61,-95.4,1361,0,50,5,8,0,200,Load,IN,IN,IN,IN,IN,IN,IN,IN,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13,170.13
16,Katy,29.74,-95.83,691,0,50,5,5,0,200,Load,IN,IN,IN,IN,IN,X,X,X,138.2,138.2,138.2,138.2,138.2,0,0,0,138.2,138.2,138.2,138.2,138.2,0,0,0
17,Kerrville,30.04,-99.16,580,116,10,180,8,1000,22,Gas Combined Cycle,IN,DIS,DIS,DIS,DIS,DIS,DIS,DIS,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
18,Lubbock,33.66,-101.39,264,0,50,5,3,0,200,Load,IN,IN,IN,X,X,X,X,X,88,88,88,0,0,0,0,0,88,88,88,0,0,0,0,0
19,McCamey,31.21,-102.24,605,0,25,10,3,400,0,Solar PV,DIS,DIS,DIS,X,X,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,McKinney,33.17,-96.6,1030,206,10,270,5,1000,36,Gas Combined Cycle,IN,IN,DIS,DIS,DIS,X,X,X,103,103,0,0,0,0,0,0,103,103,0,0,0,0,0,0
21,Mission,26.21,-98.4,295,0,25,90,4,1000,45,Gas Turbine,IN,IN,IN,IN,X,X,X,X,61,61,61,61,0,0,0,0,61,61,61,61,0,0,0,0
22,Monahans,31.58,-102.96,960,0,25,20,4,600,0,Wind,IN,IN,IN,IN,X,X,X,X,157.5,157.5,157.5,157.5,0,0,0,0,157.5,157.5,157.5,157.5,0,0,0,0
23,Odessa,31.84,-102.33,178,0,50,5,3,0,200,Load,IN,IN,IN,X,X,X,X,X,59.33,59.33,59.33,0,0,0,0,0,59.33,59.33,59.33,0,0,0,0,0
24,O'Donnell,32.93,-101.65,1830,0,25,20,6,600,0,Wind,IN,IN,IN,IN,IN,IN,X,X,206.67,206.67,206.67,206.67,206.67,206.67,0,0,206.67,206.67,206.67,206.67,206.67,206.67,0,0
25,Pasadena,29.72,-95.18,450,0,25,60,4,2000,43,Gas Turbine,IN,DIS,DIS,DIS,X,X,X,X,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
26,Rockdale,30.57,-97.06,580,116,5,720,2,4000,32,Coal-fired Steam,IN,IN,X,X,X,X,X,X,142,142,0,0,0,0,0,0,142,142,0,0,0,0,0,0
27,San Antonio,29.59,-98.61,855,0,50,5,5,0,200,Load,IN,IN,IN,IN,IN,X,X,X,171,171,171,171,171,0,0,0,171,171,171,171,171,0,0,0
28,Snyder,32.75,-100.95,320,0,25,30,2,1000,47,Gas Turbine,IN,DIS,X,X,X,X,X,X,80,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0
29,Tyler,32.24,-95.32,292,0,50,5,3,0,200,Load,IN,IN,IN,X,X,X,X,X,97.33,97.33,97.33,0,0,0,0,0,97.33,97.33,97.33,0,0,0,0,0
30,Waco,31.62,-97.1,424,0,50,5,4,0,200,Load,IN,IN,IN,IN,X,X,X,X,106,106,106,106,0,0,0,0,106,106,106,106,0,0,0,0
31,Wadsworth,28.8,-96.05,2100,420,5,1440,2,18000,10,Nuclear Steam,IN,IN,X,X,X,X,X,X,1050,1050,0,0,0,0,0,0,1050,1050,0,0,0,0,0,0
32,Wichita Falls,33.91,-98.49,129,0,50,5,3,0,200,Load,IN,IN,IN,X,X,X,X,X,43,43,43,0,0,0,0,0,43,43,43,0,0,0,0,0
